1523405544.826658|SLEEP|WILLSLEEP|
1523405553.525834|ASL|shell script contains error and crashes BTT|
1523405553.590346|ASL|interrupt reply|
1523405891.980145|swi|check device class|
1523405891.980180|swi|shortcuts used|
1523405892.325117|short|register all hotkeys for current app|
1523405892.671692|M|mt_stop2|
1523405892.671895|M|checking|
1523405892.673303|M|unregister internal trackpad|
1523405892.673826|M|checking|
1523405892.674447|M|register internal trackpad|
1523405892.674946|STDEV|63|
1523405892.798486|M|mt_stop2|
1523405892.798697|M|checking|
1523405892.799990|M|unregister internal trackpad|
1523405892.800774|M|checking|
1523405892.801755|M|register internal trackpad|
1523405892.802084|STDEV|63|
1523405894.856746|M|mt_stop2|
1523405894.857059|M|checking|
1523405894.858460|M|unregister internal trackpad|
1523405894.859408|M|checking|
1523405894.860870|M|register internal trackpad|
1523405894.861289|STDEV|63|
1523405898.139605|M|mt_stop2|
1523405898.139910|M|checking|
1523405898.141695|M|unregister internal trackpad|
1523405898.142966|M|checking|
1523405898.144239|M|register internal trackpad|
1523405898.144531|STDEV|63|
1523405903.606374|M|mt_stop2|
1523405903.606617|M|checking|
1523405903.607921|M|unregister internal trackpad|
1523405903.608744|M|checking|
1523405903.609564|M|register internal trackpad|
1523405903.609957|STDEV|63|
1523405938.622418|M|mt_stop2|
1523405938.622625|M|checking|
1523405938.624324|M|unregister internal trackpad|
1523405938.625226|M|checking|
1523405938.626266|M|register internal trackpad|
1523405938.626613|STDEV|63|
1523406150.533486|usage|loading todays usage|
1523406150.755591|ASL|[Crashlytics] Version 3.9.3 (128)|
1523406150.875828|short|init|
1523406150.875876|short|no event tap functionality used|
1523406151.357734|LIC|idate 2018-04-11 00:22:31 +0000|
1523406151.362742|short|register all hotkeys|
1523406151.372778|LIC|closing previous instance of BetterTouchTool relaunch|
1523406151.408310|short|register disable hotkeys|
1523406151.409382|short|register disable hotkeys|
1523406151.410238|short|register all hotkeys|
1523406151.413595|LAUNCH|DIDLaunch|
1523406151.684922|ASL|new multitouch device recognized|
1523406151.685127|M|checking|
1523406151.687249|short|call sharedInstance4|
1523406151.696674|M|mt_stop10|
1523406151.696852|M|checking|
1523406151.699182|M|register internal trackpad|
1523406151.699434|STDEV|63|
1523406151.699490|swi|check device class|
1523406151.699498|swi|shortcuts used|
1523406154.217907|short|eventtap success|
1523406154.224308|short|register disable hotkeys|
1523406154.225384|short|register all hotkeys for current app|
1523406154.226293|short|register all hotkeys|
1523406155.123648|short|register all hotkeys for current app|
1523406155.125122|M|mt_stop2|
1523406155.125311|M|checking|
