1522283948.365552|usage|loading todays usage|
1522283948.452406|ASL|[Crashlytics] Version 3.9.3 (128)|
1522283948.471690|short|init|
1522283948.471916|short|no event tap functionality used|
1522283948.616996|LIC|idate 2018-03-14 09:49:18 +0000|
1522283948.676927|short|register all hotkeys|
1522283948.690060|LIC|closing previous instance of BetterTouchTool relaunch|
1522283948.716605|short|register disable hotkeys|
1522283948.718912|short|register disable hotkeys|
1522283948.720013|short|register all hotkeys|
1522283948.725714|LAUNCH|DIDLaunch|
1522283948.788923|ASL|new multitouch device recognized|
1522283948.789333|M|checking|
1522283948.795471|short|call sharedInstance4|
1522283948.803291|SEC|SecureInputActive com.apple.loginwindow|
1522283948.833649|M|mt_stop10|
1522283948.833810|M|checking|
1522283948.836614|M|register touchbar mbp trackpad|
1522283948.836635|M|register internal trackpad|
1522283948.836994|STDEV|68|
1522283948.837076|swi|check device class|
1522283948.837094|swi|shortcuts NOT used|
1522283949.872276|short|eventtap success|
1522283949.912693|short|register disable hotkeys|
1522283949.914618|short|register all hotkeys for current app|
1522283949.915845|short|register all hotkeys|
1522283950.536614|short|register all hotkeys for current app|
1522283950.542909|M|mt_stop2|
1522283950.543054|M|checking|
1522283950.544780|M|unregister magic trackpad 2|
1522283950.545102|M|checking|
1522283950.547068|M|register touchbar mbp trackpad|
1522283950.547087|M|register internal trackpad|
1522283950.547335|STDEV|68|
1522283950.551259|ASL|[Fabric] failed to download settings Error Domain=FABNetworkError Code=-6 "(null)" UserInfo={retryLimit=1, NSErrorFailingURLStringKey=https://settings.crashlytics.com/spi/v2/platforms/mac/apps/com.hegenberg.BetterTouchTool/settings?build_version=779&display_version=2.422&instance=97fab46f922de7af8c8586bc768f2b663d31582e&icon_hash=1df59c7b2666c722f28a94bfb94aee1fdb86fbd4&source=1}|
1522283950.585458|ASL|[Crashlytics:Crash] Warning: NSApplicationCrashOnExceptions is not set. This will result in poor top-level uncaught exception reporting.|
1522283950.651807|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(Joan) port(56900)|
1522283953.614567|M|checking|
1522283953.619331|M|checking|
1522283953.621291|M|checking|
1522283954.038450|short|register all hotkeys for current app|
1522283956.090412|swi|check device class|
1522283956.090432|swi|shortcuts NOT used|
1522283956.113335|short|register all hotkeys for current app|
1522283956.113973|SEC|SecureInputDisabled com.apple.loginwindow|
1522283956.115154|short|register disable hotkeys|
1522283956.116671|short|register all hotkeys for current app|
1522283956.117755|short|register all hotkeys|
1522283958.450695|swi|check device class|
1522283958.450716|swi|shortcuts NOT used|
1522283958.471723|short|register all hotkeys for current app|
